LATITUDE,LONGITUDE,ARC_ID,YEAR,VH,CYC,PED,FATAL,SERIOUS_INJURY,MINOR_INJURY,NO_INJURY
34.192005157,-118.474899292,3815250965341912847227444298_381525077534192158123381863,2018,0,0,1,1,0,0,0
34.039836884,-118.331085205,38166884153403974410272306604_381668918534039881123374742,2018,0,0,1,1,0,0,0
34.221675873,-118.431083679,3815688675342216699958675952_3815689855342216696487335594,2018,0,0,1,1,0,0,0
33.927814484,-118.129730225,3818702895339279022044280355_3818700695339276023695541103,2018,0,0,1,1,0,0,0
33.966083527,-118.047286987,3819526945339661296791844860_3819528855339658206791844850,2018,0,0,1,1,0,0,0
33.930938721,-118.282600403,38171740853393099425522199_3817174135339306225563523553,2018,0,0,1,1,0,0,0
34.307525635,-118.449783325,38155019153430751310208501986_381550294534307602123195319,2018,0,0,1,1,0,0,0
34.244819641,-118.436820984,3815612825342434354075544595_3815640735342454724075544596,2018,0,0,1,1,0,0,0
34.231510162,-118.428947449,381571085534231543122733235_381570425534231069122845976,2018,0,0,1,1,0,0,0
34.193920135,-118.457901001,3815418965341939357911975908_3815423935341939357221986389,2018,0,0,1,1,0,0,0
34.193920135,-118.457901001,3815423935341939357221986389_3815418965341939357911975908,2018,0,0,1,1,0,0,0
34.060424805,-117.755004883,3822448845340604344361125320_382245395534060447122912631,2018,0,0,1,1,0,0,0
33.967152,-118.309021,3816909845339670804010985629_381690986533967290123128263,2018,0,0,1,1,0,0,0
34.05355072,-117.80166626,3821981435340534666807597423_3821983125340535896805911909,2018,0,0,1,1,0,0,0
34.05355072,-117.80166626,3821983125340535896805911909_3821981435340534666807597423,2018,0,0,1,1,0,0,0
34.689460754,-118.140617371,3818598915346894548410949753_381859286534689451123427661,2018,0,0,1,1,0,0,0
34.272777557,-118.394836426,3816050715342727085459449554_3816052445342728353771688314,2018,0,0,1,1,0,0,0
33.741539001,-118.292327881,381707682533741493123675645_3817076795337418457207609331,2018,0,0,1,1,0,0,0
33.741539001,-118.292327881,3817076795337418457207609331_381707682533741493123675645,2018,0,0,1,1,0,0,0
34.559318542,-118.045181274,3819548335345594714367366100_3819547185345590384367366101,2018,0,0,1,1,0,0,0
34.096088409,-118.29176330599999,3817082355340959816735480318_3817082325340961487540771947,2018,0,0,1,1,0,0,0
34.074539185,-118.214378357,3817856025340744167370477988_3817856015340746017874238655,2018,0,0,1,1,0,0,0
34.074539185,-118.214378357,3817856015340746017874238655_3817856025340744167370477988,2018,0,0,1,1,0,0,0
34.039493561,-118.283325195,3817166375340395114014925222_3817168155340394324014925221,2018,0,0,1,1,0,0,0
34.039493561,-118.283325195,3817168155340394324014925221_3817166375340395114014925222,2018,0,0,1,1,0,0,0
34.03471756,-118.682182312,381316168534034508123307345_381318076534034684123307350,2018,0,0,1,1,0,0,0
34.03471756,-118.682182312,381318076534034684123307350_381316168534034508123307345,2018,0,0,1,1,0,0,0
33.989120483,-118.161621094,381838460533989116122797632_3818380035339891667189901866,2018,0,0,1,1,0,0,0
33.952789307,-118.282119751,381717304533952806122920069_381719001533952785122855744,2018,0,0,1,1,0,0,0
33.952789307,-118.282119751,381719001533952785122855744_381717304533952806122920069,2018,0,0,1,1,0,0,0
33.981983185,-118.256462097,3817435525339819041837316637_3817435555339820674059634424,2018,0,0,1,1,0,0,0
34.061721802,-118.306625366,3816931345340617018331358914_381693414534061700123138065,2018,0,0,1,1,0,0,0
33.757480621,-118.126281738,381873723533757432122599411_3818737975337575263876198898,2018,0,0,1,1,0,0,0
34.16740036,-118.150657654,3818493415341673186734795771_3818493395341677168233851257,2018,0,0,1,1,0,0,0
34.078460693,-118.166122437,3818338765340784761865094782_381834111534078073123700282,2018,0,0,1,1,0,0,0
33.95772934,-118.158958435,3818414185339581094011848467_3818409905339577024011848466,2018,0,0,1,1,0,0,0
33.968429565,-118.210166931,381789831533968438123278797_381789723533967620123278800,2018,0,0,1,1,0,0,0
34.158496857,-118.258369446,3817415305341584896730971146_3817416915341584917396377166,2018,0,0,1,1,0,0,0
33.870452881,-118.142562866,3818574285338703347241607449_3818574255338707964071845094,2018,0,0,1,1,0,0,0
33.957389832,-118.349388123,381650625533957399122883781_3816500775339569288461376844,2018,0,0,1,1,0,0,0
33.957389832,-118.349388123,3816500775339569288461376844_381650625533957399122883781,2018,0,0,1,1,0,0,0
34.179901123,-118.302734375,38169770853418032735528322_38169648953417916826962801,2018,0,0,1,1,0,0,0
33.896018982,-118.207969666,381792091533896011122768601_3817919825338960144011834684,2018,0,0,1,1,0,0,0
34.049160004,-117.959091187,382040920534049145122891682_3820402005340496871705837675,2018,0,0,1,1,0,0,0
34.027599335,-117.895729065,3821042915340276337344828842_382104323534027517123158379,2018,0,0,1,1,0,0,0
34.18667984,-118.395370483,3816050185341866804048954774_381604594534186680123414304,2018,0,0,1,1,0,0,0
34.001544952,-118.431938171,3815678895340017797715482858_3815680725340015391717202057,2018,0,0,1,1,0,0,0
34.010818481,-118.318252563,3816811785340108194010228220_3816817735340108271732243950,2018,0,0,1,1,0,0,0
33.945610046,-118.265258789,3817348485339456041716461295_3817345405339456016774548438,2018,0,0,1,1,0,0,0
33.945610046,-118.265258789,3817345405339456016774548438_3817348485339456041716461295,2018,0,0,1,1,0,0,0
33.923542023,-118.396377563,381603645533923619122928474_3816036465339230876769350816,2018,0,0,1,1,0,0,0
33.955661774,-118.134239197,3818657805339557273625870663_381865716533955643122779693,2018,0,0,1,1,0,0,0
33.993881226,-118.300193787,38169981453399407310274960341_3816998115339934534019275193,2018,0,0,1,1,0,0,0
33.887523651,-118.2498703,3817502285338873582546218366_3817501285338877587825708878,2018,0,0,1,1,0,0,0
33.83001709,-118.072052002,3819279385338301084021976273_3819279455338299524021976272,2018,0,0,1,1,0,0,0
34.003860474,-118.268730164,381731261534003849122795304_381731472534003853122795297,2018,0,0,1,1,0,0,0
33.967861176,-118.282722473,381717309533967858123128232_3817166945339678536389645254,2018,0,0,1,1,0,0,0
34.106803894,-117.892112732,3821069115341067859324793213_3821081355341067894954137112,2018,0,0,1,1,0,0,0
34.106803894,-117.892112732,3821081355341067894954137112_3821069115341067859324793213,2018,0,0,1,1,0,0,0
